,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center
72,6334,-35.200641999999995,149.104126,ABENA AV AFTER CHANCE ST,CRACE,"(-35.200642, 149.104126)",0.01429538060423034,0.5386460217679201
73,6335,-35.200768,149.104095,ABENA AV AFTER TAPLOW ST,CRACE,"(-35.200768, 149.104095)",0.01429538060423034,0.5279210774893152
74,6332,-35.200691,149.113632,LANGTREE CR AFTER DURONG ST,CRACE,"(-35.200691, 149.113632)",0.03750632101435739,0.7569337642610285
75,2020,-35.320927000000005,149.08158899999998,MCCULLOCH ST AFTER REYNOLDS ST,CURTIN,"(-35.320927, 149.081589)",0.08281227899688572,0.5699680403960781
76,2017,-35.325825,149.085236,CARRUTHERS ST AFTER YARRA GLEN,CURTIN,"(-35.325825, 149.085236)",0.03947726351378754,0.6830084920478522
77,2018,-35.324993,149.083008,CARRUTHERS ST CURTIN SHOPS,CURTIN,"(-35.324993, 149.083008)",0.0475998083880977,0.4746273124518769
78,2304,-35.318466,149.095627,STRICKLAND CR CALVARY JOHN JAMES HOSPITAL,DEAKIN,"(-35.318466, 149.095627)",0.028705245389482038,1.0680307704977274
79,2305,-35.318363,149.095337,STRICKLAND CR OPP CALVARY JOHN JAMES HOSP.,DEAKIN,"(-35.318363, 149.095337)",0.028705245389482038,1.0906723425598333
80,2642,-35.31427,149.108826,GAWLER CR AFTER 2ND FERGUSSON CR,DEAKIN,"(-35.31427, 149.108826)",0.008417249798299099,0.25395906291911
81,2558,-35.252644000000004,149.139359,COWPER ST DARAMALAN COLLEGE,DICKSON,"(-35.252644, 149.139359)",0.012801243418691042,0.03665653738768087
82,3369,-35.256821,149.139679,COWPER ST BEFORE MAJURA AV,DICKSON,"(-35.256821, 149.139679)",0.11772985058240486,0.4806399783937463
83,4567,-35.255196000000005,149.13326999999998,NORTHBOURNE AV AFTER MORPHETT ST,DICKSON,"(-35.255196, 149.13327)",0.20142344304225124,0.6583062219696697
84,4749,-35.236713,149.142899,FEDERAL HWY AFTER PHILLIP AV,DOWNER,"(-35.236713, 149.142899)",0.1459958055286446,0.850793031833468
85,3246,-35.242367,149.14828500000002,BRADFIELD ST AFTER BURN ST,DOWNER,"(-35.242367, 149.148285)",0.03676198688588144,0.35935844709235254
86,3244,-35.243435,149.144501,BRADFIELD ST AFTER FRENCHAM ST,DOWNER,"(-35.243435, 149.144501)",0.09011661702785967,0.09318836588442893
87,2410,-35.34256,149.032303,WYANGALA ST AFTER WARANGA PL,DUFFY,"(-35.34256, 149.032303)",0.013129134504188197,0.6650928163755552
88,2409,-35.33289,149.03733799999998,BURRINJUCK CR AFTER SERPENTINE ST,DUFFY,"(-35.33289, 149.037338)",0.01847716909699373,0.5039817927646686
89,1637,-35.343933,149.027664,HINDMARSH DR WESTON CREEK TERMINUS,DUFFY,"(-35.343933, 149.027664)",0.01880125312236471,1.0186917168009548
90,5025,-35.202498999999996,149.021942,GINNINDERRA DR AFTER LANCE HILL AV,DUNLOP,"(-35.202499, 149.021942)",0.02225828336965577,0.7921840439331237
91,5026,-35.189392,149.02171299999998,KERRIGAN ST AFTER TRAEGER ST,DUNLOP,"(-35.189392, 149.021713)",0.042470315913024026,0.7030800094703862
92,4970,-35.196498999999996,149.015213,KERRIGAN ST AFTER BEDOURIE ST,DUNLOP,"(-35.196499, 149.015213)",0.010494063024717934,0.4475798991323559
93,4897,-35.210442,149.069794,ASHKANASY CR AFTER CLANCY ST,EVATT,"(-35.210442, 149.069794)",0.01260969681392819,0.2283246614585447
94,4898,-35.210388,149.069672,ASHKANASY CR AFTER PITCAIRN ST,EVATT,"(-35.210388, 149.069672)",0.01260969681392819,0.22330564346716014
95,4569,-35.210682,149.067444,ASHKANASY CR AFTER JENKS PL,EVATT,"(-35.210682, 149.067444)",0.04401187325597123,0.11368827970404106
96,1159,-35.398518,149.122116,BUGDEN AV AFTER 2ND MULLAN ST,FADDEN,"(-35.398518, 149.122116)",0.0069985643464857035,0.5378364388070622
97,1160,-35.398528999999996,149.12219199999998,BUGDEN AV AFTER COURTICE CL,FADDEN,"(-35.398529, 149.122192)",0.0069985643464857035,0.541767631895421
98,1161,-35.400242,149.115692,BUGDEN AV AFTER DASH CR,FADDEN,"(-35.400242, 149.115692)",0.0790651497965635,0.2863992505816673
99,2477,-35.373634,149.10171499999998,MARSHALL ST AFTER SPAFFORD CR,FARRER,"(-35.373634, 149.101715)",0.0912808796276723,0.5135138836453238
100,2655,-35.371722999999996,149.098709,BEASLEY ST AFTER WILKINS ST,FARRER,"(-35.371723, 149.098709)",0.05260690682154659,0.853855599007197
101,2654,-35.371151,149.100723,BEASLEY ST AFTER MARSHALL ST,FARRER,"(-35.371151, 149.100723)",0.11664494277827152,0.7916216091863347
102,1264,-35.358478999999996,149.047928,NAMATJIRA DR SOUTHBOUND AFTER STREETON DR,FISHER,"(-35.358479, 149.047928)",0.030430740979171585,0.8693996657593452
103,1265,-35.360592,149.047806,NAMATJIRA DR BEFORE KAPUNDA ST,FISHER,"(-35.360592, 149.047806)",0.021616953595953194,0.8352270261394247
104,1263,-35.355114,149.050797,NAMATJIRA DR AFTER BADIMARA ST,FISHER,"(-35.355114, 149.050797)",0.028891524525887585,0.863283458006178
105,5028,-35.231945,149.04972800000002,SOUTHERN CROSS AFTER RATCLIFFE ST,FLOREY,"(-35.231945, 149.049728)",0.06745027290732805,0.6803262684698541
