,Unnamed: 0,Stop ID,Stop Latitude,Stop Longitude,Stop Name,Suburb,Location,distance_next_stop,distance_suburb_center,# of Bus Stops (in Suburbs),Population Density,Label
91,91,5026,-35.189392,149.021713,KERRIGAN ST AFTER TRAEGER ST,DUNLOP,"(-35.189392, 149.021713)",0.986914949,0.703080009,0.011319282,0.277777778,1
92,92,4970,-35.196499,149.015213,KERRIGAN ST AFTER BEDOURIE ST,DUNLOP,"(-35.196499, 149.015213)",0.905240177,0.447579899,0.011319282,0.277777778,1
93,93,4897,-35.210442,149.069794,ASHKANASY CR AFTER CLANCY ST,EVATT,"(-35.210442, 149.069794)",0.012609697,0.228324661,0.014051522,0.322580645,1
94,94,4898,-35.210388,149.069672,ASHKANASY CR AFTER PITCAIRN ST,EVATT,"(-35.210388, 149.069672)",0.012609697,0.223305643,0.014051522,0.322580645,1
95,95,4569,-35.210682,149.067444,ASHKANASY CR AFTER JENKS PL,EVATT,"(-35.210682, 149.067444)",0.20510239,0.11368828,0.014051522,0.322580645,1
96,96,1159,-35.398518,149.122116,BUGDEN AV AFTER 2ND MULLAN ST,FADDEN,"(-35.398518, 149.122116)",0.006998564,0.537836439,0.010148322,0.322580645,1
97,97,1160,-35.398529,149.122192,BUGDEN AV AFTER COURTICE CL,FADDEN,"(-35.398529, 149.122192)",0.006998564,0.541767632,0.010148322,0.322580645,1
98,98,1161,-35.400242,149.115692,BUGDEN AV AFTER DASH CR,FADDEN,"(-35.400242, 149.115692)",0.613201135,0.286399251,0.010148322,0.322580645,1
99,99,2477,-35.373634,149.101715,MARSHALL ST AFTER SPAFFORD CR,FARRER,"(-35.373634, 149.101715)",0.290469242,0.513513884,0.005464481,0.476190476,1
100,100,2655,-35.371723,149.098709,BEASLEY ST AFTER WILKINS ST,FARRER,"(-35.371723, 149.098709)",0.193430089,0.853855599,0.005464481,0.476190476,1
101,101,2654,-35.371151,149.100723,BEASLEY ST AFTER MARSHALL ST,FARRER,"(-35.371151, 149.100723)",0.193430089,0.791621609,0.005464481,0.476190476,1
102,102,1264,-35.358479,149.047928,NAMATJIRA DR SOUTHBOUND AFTER STREETON DR,FISHER,"(-35.358479, 149.047928)",0.030430741,0.869399666,0.006245121,0.625,1
103,103,1265,-35.360592,149.047806,NAMATJIRA DR BEFORE KAPUNDA ST,FISHER,"(-35.360592, 149.047806)",0.021616954,0.835227026,0.006245121,0.625,1
